Mã quốc gia,Tên quốc gia,Trạng thái
VN,Việt Nam,1
US,Mỹ,1
CN,Trung Quốc,1
JP,Nhật Bản,1
KR,Hàn Quốc,1
TH,Thái Lan,1
SG,Singapore,1
